city_enc,district_enc,property_type_enc,area_m2,bedrooms,bathrooms,city_price_median,city_ppm2_median,city_area_median,district_ppm2_median,city_count,ratio_surface_chambres,price_per_m2_city,price_mad,city,district,area_m2,bedrooms,bathrooms,price_mad,latitude,longitude,url
154,183,0,76.0,2.0,2.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,38.0,17469.87951807229,1036000.0,marrakech,guéliz,76.0,2.0,2.0,1036000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8022547/prestigieux-appartement-f3-double-fa%C3%A7ade
154,299,0,110.0,3.0,2.0,1450000.0,17757.009345794395,83.0,8505.494505494506,1997,36.666666666666664,17469.87951807229,1200000.0,marrakech,massira 1,110.0,3.0,2.0,1200000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8226809/appartement-en-vente-el-massira-1
154,289,0,125.0,2.0,2.0,1450000.0,17757.009345794395,83.0,17999.999999999996,1997,62.5,17469.87951807229,4200000.0,marrakech,majorelle,125.0,2.0,2.0,4200000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8306581/achat-vente-appartement-de-luxe-%C3%A0-majorelle
154,15,0,78.0,2.0,2.0,1450000.0,17757.009345794395,83.0,25000.0,1997,39.0,17469.87951807229,2300000.0,marrakech,agdal,78.0,2.0,2.0,2300000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/7996118/appartement-de-luxe-2-chambre-meubl%C3%A8
154,371,0,43.0,1.0,1.0,1450000.0,17757.009345794395,83.0,23369.25287356322,1997,43.0,17469.87951807229,1350000.0,marrakech,route amizmiz,43.0,1.0,1.0,1350000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8312348/studio-neuf-43m2-prestigia-argan-golf-marrakech
154,183,0,57.0,1.0,1.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,57.0,17469.87951807229,1475000.0,marrakech,guéliz,57.0,1.0,1.0,1475000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/7915632/vente-d-un-bel-appartement-%C3%A0-gu%C3%A9liz
154,183,0,51.0,1.0,1.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,51.0,17469.87951807229,911000.0,marrakech,guéliz,51.0,1.0,1.0,911000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8257821/florea-gueliz-projet-sur-plan-livraison-d%C3%A9but-2028
154,183,0,121.0,2.0,2.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,60.5,17469.87951807229,2420000.0,marrakech,guéliz,121.0,2.0,2.0,2420000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8293050/superbe-appartement-%C3%A0-vendre-%C3%A0-route-casablanca-2-belles-chambres
154,289,0,51.0,2.0,2.0,1450000.0,17757.009345794395,83.0,17999.999999999996,1997,25.5,17469.87951807229,969000.0,marrakech,majorelle,51.0,2.0,2.0,969000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8268250/appartement-%C3%A0-vendre-%C3%A0-majorelle-surface-de-51-m%C2%B2
154,308,0,64.0,4.0,2.0,1450000.0,17757.009345794395,83.0,8032.264162077104,1997,16.0,17469.87951807229,599800.0,marrakech,mhamid,64.0,4.0,2.0,599800.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8304911/appartement-%C3%A0-l-achat-%C3%A0-mhamid-4-chambres-agr%C3%A9ables
154,400,0,84.0,2.0,2.0,1450000.0,17757.009345794395,83.0,17216.494845360827,1997,42.0,17469.87951807229,1600000.0,marrakech,samlalia,84.0,2.0,2.0,1600000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8326704/appartement-neuf-%C3%A0-gu%C3%A9liz
154,183,0,83.0,2.0,2.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,41.5,17469.87951807229,1560000.0,marrakech,guéliz,83.0,2.0,2.0,1560000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8116140/appartements-neufs-%C3%A0-vendre-gu%C3%A9liz
154,114,0,53.0,1.0,1.0,1450000.0,17757.009345794395,83.0,26111.11111111111,1997,53.0,17469.87951807229,1100000.0,marrakech,boulevard med 6,53.0,1.0,1.0,1100000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8330307/superbe-appartement-%C3%A0-vendre-%C3%A0-boulevard-med-6-2-pi%C3%A8ces-confortables
154,126,0,79.0,2.0,2.0,1450000.0,17757.009345794395,83.0,19222.7465785748,1997,39.5,17469.87951807229,1600000.0,marrakech,camp al ghoul,79.0,2.0,2.0,1600000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8324407/vente-d-un-bel-appartement-%C3%A0-camp-al-ghoul-2-belles-chambres
154,183,0,116.0,3.0,2.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,38.666666666666664,17469.87951807229,3016000.0,marrakech,guéliz,116.0,3.0,2.0,3016000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8275783/%C3%A0-vendre-%E2%80%93-appartement-neuf-haut-standing-avenue-mohammed-v-%E2%80%93-gu%C3%A9liz-sans-vis-%C3%A0-vis
154,326,0,54.0,2.0,2.0,1450000.0,17757.009345794395,83.0,15957.446808510638,1997,27.0,17469.87951807229,750000.0,marrakech,ouasis,54.0,2.0,2.0,750000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8326294/appartement-%C3%A0-vendre-%E2%80%93-jnane-aourad-rte-de-casa
